Gp1,Hfd,Tb1,Wd,VEC1,sVEC,Phase Formation
7.176,0.165776215,3868.83,0.106324462,5.736,1.808000003,BMG
9.33,1.169173692,3024.82,0.039520098,7.03,1.960000001,BMG
3.8,0.333007951,1804.275,0.15845084,3.8,1.550000001,BMG
11.9,0.23422787,2905.47,0.118924165,3.7,2.000000002,BMG
8.11,0.30903322,3566.35,0.107893447,7.61,1.929999998,BMG
6,0.383674285,3470.65,0.283732857,5,1.9,BMG
8.175,0.191393577,3703.875,0.110336602,7.675,1.874999998,BMG
4.052,0.379696262,2182.714,0.167040795,4.052,2.000000002,BMG
7.9255,0.154394464,3643.8815,0.093308941,7.0255,1.550000003,BMG
9.24,1.137972481,3048.57,0.035959457,7.14,1.960000001,BMG
8.888,0.680280419,3451.246,0.081064407,6.488,1.960000003,BMG
9.112,0.645318343,3501.682,0.026140917,6.812,1.939999998,BMG
7.04,0.153288748,3938.19,0.072541211,5.84,1.72,BMG
4.35,0.172533187,1945.15,0.136394731,4.35,1.750000002,BMG
8.61,1.037132126,3608.87,0.065572465,6.51,1.71,BMG
8.258,0.131853297,3455.884,0.074561074,8.158,1.405999998,BMG
6.982,0.141713381,3993.154,0.114179648,5.442,1.999999999,BMG
6.05,0.20195875,2143.75,0.221407944,6.05,1.549999999,BMG
5.11,0.233540912,3858.36,0.104204695,5.11,1.79,BMG
3.95,0.134211092,1584.5,0.204779817,3.95,1.95,BMG
5.72,0.392896854,3447.226,0.183913089,4.72,1.799999999,BMG
7.38,0.109868463,3357.97,0.081062194,7.38,1.380000001,BMG
6.26,0.37789805,3389.37,0.150183885,4.86,1.799999998,BMG
3.975,0.130141143,3673.525,0.106241487,3.975,1.925000002,BMG
9.48,0.627404622,3462.59,0.023236731,7.08,1.959999999,BMG
8.7,0.675557933,3523.47,0.04480141,6.5,2.000000002,BMG
9.3975,0.434999036,2709.075,0.034942622,7.6975,1.999999997,BMG
8.65,0.981800635,3639.6,0.048411705,6.15,1.624999998,BMG
3.7,0.33578732,1748.35,0.182727687,3.7,1.599999998,BMG
7.1,0.389884854,3308.95,0.233040836,4.6,1.800000001,BMG
7.7514,0.197511207,3604.0787,0.115407931,6.7064,1.9403,BMG
8.9976,0.675439158,3442.2364,0.052505213,6.6456,1.960799997,BMG
8.86,0.686995971,3443.59,0.067496553,6.66,1.999999998,BMG
10.71,0.554863381,3100.14,0.018093842,9.21,0.360000001,BMG
7.78,0.150460209,3706.7,0.078044087,7.08,1.550000002,BMG
3.3,0.31270318,1654.7,0.171070764,3.3,1.7,BMG
9.176,0.672530469,3401.758,0.024566011,6.776,1.959999998,BMG
8.79,1.056888689,3544.99,0.065356729,6.59,1.819999998,BMG
6.7,0.153306991,3082.86,0.207020201,4.2,1.999999999,BMG
8.67,1.020251964,3667.79,0.049600995,6.37,1.699999999,BMG
9.38184,0.635629551,3447.45808,0.024075638,7.00584,1.950399997,BMG
8.12,0.30808227,3625.8,0.108848627,7.62,1.92,BMG
9.73,1.235445668,2894.06,0.039279237,7.23,2.000000001,BMG
8.11,0.3074728,3600.01,0.108807608,7.61,1.929999998,BMG
9.47,1.079579784,3094.18,0.034250395,7.47,1.960000002,BMG
8.66,0.66327157,3484.43,0.066537592,6.66,1.959999998,BMG
8.845,1.06199827,3627.465,0.062920628,6.745,1.859999999,BMG
7.078,0.102262238,3371.372,0.082389367,7.078,1.622000001,BMG
3.325,0.315522419,1657.35,0.180801681,3.325,1.699999998,BMG
10.68,0.486233333,2683.23,0.028705098,8.68,0.720000002,BMG
