C,Cr,W,Si,Mn,V,Ta,Zr,Y,Ti,N,NT ,Nt ,TT ,Tt ,Ttest ,UTS ,TE 
0.1,9.2,1.5,0.05,0.44,0.22,0.15,0,0.014,0.025,0,1050,30,650,90,650,282,28
0.11,9.2,1.51,0.06,0.45,0.22,0.15,0,0.015,0.039,0,1050,30,650,90,650,275,25.5
0.006,9.11,1.47,0.16,0.47,0.21,0.11,0,0,0,0.043,1050,50,760,90,25,642,22
0.006,9.11,1.47,0.16,0.47,0.21,0.11,0,0,0,0.043,1050,50,760,90,600,375,20
0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,25,625,14.8
0.13,8.94,1.45,0,0.44,0.19,0.15,0,0,0,0,980,30,760,90,25,678,12.6
0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,400,446,9.6
0.13,8.94,1.45,0,0.44,0.19,0.15,0,0,0,0,980,30,760,90,400,517,8.5
0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,500,396,11.6
0.13,8.94,1.45,0,0.44,0.19,0.15,0,0,0,0,980,30,760,90,500,442,11.6
0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,550,350,15.2
0.13,8.94,1.45,0,0.44,0.19,0.15,0,0,0,0,980,30,760,90,550,386,12.7
0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,600,314,18.8
0.13,8.94,1.45,0,0.44,0.19,0.15,0,0,0,0,980,30,760,90,600,320,16.7
0.1,8.74,0.94,0.09,0.23,0.18,0.06,0.009,0,0.005,0.004,1000,40,750,70,25,667,23.3
0.1,8.74,0.94,0.09,0.23,0.18,0.06,0.009,0,0.005,0.004,1000,40,750,70,500,453,20.7
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,50,713,20.5
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,100,690,20
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,150,673,18
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,200,650,18
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,250,642,17
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,300,615,17
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,350,607,16
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,400,574,18
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,450,545,18
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,500,493,21.3
0.12,9.11,1.52,0.03,0.41,0.19,0.2,0,0,0,0.002,1000,40,740,90,550,431,25
0.12,8.91,1.44,0,0.49,0.2,0.15,0,0,0,0,980,30,760,90,25,670,25
0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,25,639,24
0.12,8.91,1.44,0,0.49,0.2,0.15,0,0,0,0,980,30,760,90,400,556,17
0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,400,465,16
0.12,8.91,1.44,0,0.49,0.2,0.15,0,0,0,0,980,30,760,90,500,495,15
0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,500,452,20
0.12,8.91,1.44,0,0.49,0.2,0.15,0,0,0,0,980,30,760,90,600,373,19
0.09,9,1.98,0,0.49,0.2,0.083,0,0,0,0.015,1050,60,780,60,600,342,18
0.12,8.91,2.03,0.01,0.01,0.26,0.069,0,0,0.05,0,1050,30,750,60,25,697,14
0.1,8.92,2.02,0.01,0.01,0.26,0.069,0,0,0.04,0,1050,30,750,60,25,716,15.6
0.1,8.85,1.99,0.05,0.45,0.2,0.08,0,0,0,0.0231,1050,60,780,60,25,627,27.6
0.1,8.85,1.99,0.05,0.45,0.2,0.08,0,0,0,0.0231,1050,60,780,60,400,518,23.8
0.1,8.85,1.99,0.05,0.45,0.2,0.08,0,0,0,0.0231,1050,60,780,30,25,605,25.3
0.089,8.97,1.96,0.051,0.5,0.2,0.098,0,0,0,0.0277,1050,60,780,30,25,617,20.8
0.098,8.99,2,0.05,0.5,0.2,0.098,0,0,0.002,0.0149,1050,60,780,30,25,598,22
0.097,8.99,2.01,0.049,0.5,0.2,0.1,0,0,0.002,0.015,1050,60,780,30,25,609,22
0.096,8.97,2.01,0.05,0.49,0.2,0.14,0,0,0.002,0.0151,1050,60,780,30,25,602,22.1
0.096,8.97,2.01,0.051,0.5,0.2,0.14,0,0,0.048,0.0152,1050,60,800,30,25,595,21.9
0.098,8.99,2,0.05,0.5,0.2,0.098,0,0,0.002,0.0149,1050,60,780,30,300,571,18.3
0.097,8.99,2.01,0.049,0.5,0.2,0.1,0,0,0.002,0.015,1050,60,780,30,300,547,14.7
0.096,8.97,2.01,0.05,0.49,0.2,0.14,0,0,0.002,0.0151,1050,60,780,30,300,533,16
0.098,8.99,2,0.05,0.5,0.2,0.098,0,0,0.002,0.0149,1050,60,780,30,400,514,14.6
0.097,8.99,2.01,0.049,0.5,0.2,0.1,0,0,0.002,0.015,1050,60,780,30,400,514,14.8
0.096,8.97,2.01,0.05,0.49,0.2,0.14,0,0,0.002,0.0151,1050,60,780,30,400,500,15.73
0.098,8.99,2,0.05,0.5,0.2,0.098,0,0,0.002,0.0149,1050,60,780,30,500,456,17.5
